Customer ID,Customer Name,Age,Gender
C1000,Thomas Duncan,56,m
C1001,Kenneth Ross,56,m
C1002,Henry Reyes,56,m
C1003,Benjamin Carter,56,m
C1004,Jeremy Schmidt,45,f
C1005,Joe Hanson,45,f
C1006,Henry Reyes,45,f
C1007,Benjamin Vasquez,45,m
C1008,Benjamin Kim,45,m
C1009,Howard Morgan,45,f
C1010,Ralph Wood,45,f
C1011,Brandon Wright,34,m
C1012,Gerald Andrews,45,f
C1013,Nicholas Garcia,34,m
C1014,Juan Perez,35,m
C1015,Andrew Graham,34,m
C1016,Douglas Kennedy,36,m
C1017,Eugene Brooks,78,m
C1018,Samuel Jenkins,45,f
C1019,Jeremy Arnold,45,f
C1020,Peter Cook,33,m
C1021,Sean Andrews,67,m
C1022,Phillip Harvey,34,m
C1023,Wayne Stewart,56,m
C1024,Raymond Burke,45,f
C1025,Patrick Rivera,45,f
C1026,Walter Harris,89,m
C1027,Victor Gutierrez,45,f
C1028,Jason Diaz,45,f
C1029,Phillip Carpenter,27,m
C1030,Jose Williams,27,m
C1031,Victor Lopez,27,m
C1032,Bobby Jackson,27,m
C1033,Patrick Wells,27,m
C1034,Scott Roberts,27,m
C1035,Wayne Gordon,27,m
C1036,Keith Hamilton,27,m
C1037,Clarence Kelley,27,m
C1038,Robert Price,27,m
C1039,James Williams,27,m
C1040,Victor Gray,28,m
C1041,Albert Cunningham,45,f
C1042,Earl Ortiz,45,f
C1043,Johnny Butler,28,m
C1044,Bobby Greene,28,m
C1045,Johnny Butler,28,m
C1046,Matthew Phillips,28,m
C1047,Keith Hamilton,28,m
C1048,Charles Richards,28,m
C1049,Kenneth Foster,28,m
C1050,Kenneth Simpson,45,f
C1051,Willie Hicks,45,f
C1052,Michael Cole,28,m
C1053,Shawn Day,28,m
C1054,Ralph Nichols,28,m
C1055,Eric Alvarez,45,f
C1056,Andrew Peters,28,f
C1057,Paul Lane,28,f
C1058,Paul Lane,28,f
C1059,Jason Hanson,28,f
C1060,Louis White,45,f
C1061,Earl Simpson,28,f
C1062,Wayne Johnson,28,f
C1063,Joseph Warren,28,f
C1064,Carlos Smith,30,f
C1065,Harry Castillo,30,f
C1066,Joe Carroll,45,f
C1067,Ralph Elliott,30,f
C1068,Raymond Spencer,30,f
C1069,Aaron Carr,45,f
C1070,David Garrett,30,f
C1071,Shawn Day,30,f
C1072,Aaron Tucker,45,f
C1073,Antonio Frazier,30,f
C1074,Kevin Webb,45,f
C1075,Albert Cunningham,45,f
C1076,Joshua Garza,45,f
C1077,Paul Lane,32,f
C1078,Russell Nelson,32,f
C1079,Louis Austin,32,f
C1080,Carl Nguyen,32,f
C1081,Brian Murphy,32,f
C1082,Martin Berry,45,f
C1083,Aaron Cruz,32,f
C1084,Benjamin Ryan,32,f
C1085,Phillip Peters,32,f
C1086,Phillip Webb,45,f
C1087,Frank Mason,32,f
C1088,Mark Montgomery,32,f
C1089,Arthur Webb,45,f
C1090,Fred Romero,32,f
C1091,Jason Duncan,32,f
C1092,Roger Elliott,32,f
C1093,Raymond Hall,45,f
C1094,Charles Montgomery,45,f
C1095,Bobby Coleman,32,f
C1096,Antonio Nelson,32,f
C1097,Eric Armstrong,32,f
C1098,Jesse Hill,32,f
C1099,Johnny Hawkins,32,f
C1100,Stephen Reynolds,32,f
C1101,Billy Miller,32,f
C1102,Raymond Fields,32,f
C1103,John Robertson,32,f
C1104,Patrick Brown,45,f
C1105,William Medina,32,f
C1106,Alan Thomas,32,f
C1107,Adam Thompson,33,f
C1108,Mark Gonzalez,45,f
C1109,Earl Robinson,33,f
C1110,Victor Lopez,33,f
C1111,Bobby Burton,33,f
C1112,James Armstrong,45,f
C1113,Steve Wells,33,f
C1114,Jerry Andrews,45,f
C1115,David Mendoza,33,f
C1116,Eugene Scott,33,f
C1117,Ralph Wood,33,f
C1118,Jesse Barnes,45,f
C1119,Benjamin Lynch,45,f
C1120,Victor Gray,45,f
C1121,Jesse Graham,45,f
C1122,Harry Daniels,45,f
C1123,Christopher Kim,45,f
C1124,Benjamin Ryan,45,f
C1125,Juan Cruz,45,f
C1126,Joshua Anderson,45,f
C1127,Samuel Price,48,f
C1128,Scott Allen,45,f
C1129,Roger Alexander,48,f
C1130,David Mendoza,48,f
C1131,Jason Hudson,48,f
C1132,Joe Fuller,45,f
C1133,Roger Tucker,43,f
C1134,Aaron Day,43,f
C1135,Michael Reed,43,f
C1136,Justin Butler,43,f
C1137,Brandon Wood,43,f
C1138,Charles Perry,43,f
C1139,Aaron Tucker,45,f
C1140,Andrew Hansen,43,m
C1141,Albert Jacobs,45,f
C1142,Daniel Perry,43,m
C1143,Ronald Bradley,45,f
C1144,Carlos Reed,43,m
C1145,Kevin Willis,43,m
C1146,Terry Richards,43,m
C1147,Thomas Hawkins,43,m
C1148,Shawn Torres,43,m
C1149,Jesse Hill,45,f
C1150,Adam Bailey,45,f
C1151,Shawn Ramos,52,m
C1152,Frank Webb,52,m
C1153,Brandon Diaz,52,m
C1154,Lawrence Watson,52,m
C1155,Daniel Barnes,52,m
C1156,Steven Hayes,52,m
C1157,Clarence Freeman,52,m
C1158,Terry Morris,45,f
C1159,Wayne Stone,45,f
C1160,Michael Thomas,52,m
C1161,Mark Montgomery,52,m
C1162,Frank Ortiz,52,m
C1163,Shawn Wallace,45,f
C1164,Roger Elliott,52,m
C1165,Victor Hughes,52,m
C1166,Jesse Evans,52,m
C1167,Aaron Miller,45,f
C1168,Keith Campbell,55,m
C1169,Edward Walker,45,f
C1170,Steve Stewart,45,f
C1171,Billy Adams,45,f
C1172,George Stanley,55,m
C1173,Steven Owens,55,m
C1174,Sean Snyder,55,m
C1175,Phillip Coleman,45,f
C1176,Ronald Anderson,55,m
C1177,Jack Stevens,55,m
C1178,Richard Peters,55,m
C1179,David Wilson,55,m
C1180,Steven Mccoy,55,m
C1181,Raymond Alexander,45,f
C1182,Martin Olson,55,m
C1183,Paul Holmes,55,m
C1184,Adam White,55,m
C1185,Phillip Edwards,55,m
