Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity,Price,Product Name,Cost Per Unit,Discount,Taxes,Category ID,Category Name,City Name,County,State Code,State,Latitude,Longitude,Area Code,Area Population,Area Households,Area Median Income,Customer Name,Age,Gender,Salesperson Name
OID10001,PID2071,A152,EMP1009,C1499,9/23/2017,1,136,Product 72,72,0,20.4,F,Category F,San Bernardino,San Bernardino County,CA,California,34.10834,-117.28977,909,216108,57580,37047,Stephen Greene,62,m,Kenneth Fields
OID10002,PID2053,A139,EMP1007,C1359,2/7/2017,1,596,Product 54,358,0,89.4,E,Category E,Ontario,San Bernardino County,CA,California,34.06334,-117.65089,909,171214,47375,54114,Antonio Shaw,84,m,Jeremy Mendoza
OID10005,PID2030,A121,EMP1003,C1220,6/27/2017,1,1899,Product 31,1044,0,284.85,D,Category D,Fresno,Fresno County,CA,California,36.74773,-119.77237,559,520052,161914,41531,Eric Bradley,58,f,Christopher Tucker
OID10007,PID2001,A122,EMP1003,C1368,1/12/2017,4,951,Product 2,504,0,142.65,A,Category A,Fullerton,Orange County,CA,California,33.87029,-117.92534,657,140847,45031,65974,Jerry Andrews,22,m,Christopher Tucker
OID10009,PID2082,A101,EMP1029,C1764,7/28/2017,1,1103,Product 83,838,0,165.45,G,Category G,Antioch,Contra Costa County,CA,California,38.00492,-121.80579,925,110542,33718,64329,Charles Perry,45,f,Howard Gardner
OID10011,PID2004,A156,EMP1007,C1348,4/13/2017,3,1278,Product 5,665,0,191.7,A,Category A,San Jose,Santa Clara County,CA,California,37.33939,-121.89496,408,1026908,314297,84647,Fred Reid,80,m,Jeremy Mendoza
OID10017,PID2088,A163,EMP1032,C1619,12/8/2017,1,603,Product 89,416,0,90.45,G,Category G,Simi Valley,Ventura County,CA,California,34.26945,-118.78148,805,126788,41972,90210,George Adams,70,f,Larry Castillo
OID10022,PID2077,A171,EMP1005,C1723,9/3/2017,2,530,Product 78,424,0,79.5,F,Category F,Visalia,Tulare County,CA,California,36.33023,-119.29206,559,130104,41730,52157,Louis Harris,46,m,Ryan Welch
OID10023,PID2005,A164,EMP1021,C1713,5/28/2017,4,684,Product 6,561,0,102.6,B,Category B,Stockton,San Joaquin County,CA,California,37.9577,-121.29078,209,305658,92440,44797,Louis Torres,46,m,Clarence Fox
OID10024,PID2059,A104,EMP1036,C1673,1/14/2017,3,1494,Product 60,971,0,224.1,E,Category E,Burbank,Los Angeles County,CA,California,34.18084,-118.30897,818,105319,41361,66076,Keith Murphy,35,m,Robert Reed
OID10025,PID2047,A170,EMP1015,C1753,9/5/2017,1,290,Product 48,200,0,43.5,E,Category E,Victorville,San Bernardino County,CA,California,34.53611,-117.29116,760,122225,31886,45894,Andrew Fernandez,57,m,Justin Lynch
OID10034,PID2099,A103,EMP1029,C1299,5/30/2017,1,1367,Product 100,984,0,205.05,H,Category H,Berkeley,Alameda County,CA,California,37.87159,-122.27275,510,120972,45917,66237,Gregory Welch,45,f,Howard Gardner
OID10038,PID2098,A143,EMP1039,C1674,4/19/2017,1,1178,Product 99,683,0,176.7,H,Category H,Pasadena,Los Angeles County,CA,California,34.14778,-118.14452,626,142250,54536,72402,Jose Williams,45,f,Eugene Holmes
