Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Purchase Date,Quantity,Price,Product Name,Cost Per Unit,Discount,Taxes,Category ID,Category Name,City Name,County,State Code,State,Latitude,Longitude,Area Code,Area Population,Area Households,Area Median Income,Customer Name,Age,Gender,Salesperson Name
OID10001,PID2071,A152,EMP1009,C1499,2017-09-23,1,136,Product 72,72.0,0,20.4,F,Category F,San Bernardino,San Bernardino County,CA,California,34.108340000000005,-117.28976999999999,909,216108,57580,37047,Stephen Greene,62,m,Kenneth Fields
OID10002,PID2053,A139,EMP1007,C1359,2017-02-07,1,596,Product 54,358.0,0,89.4,E,Category E,Ontario,San Bernardino County,CA,California,34.063340000000004,-117.65088999999999,909,171214,47375,54114,Antonio Shaw,84,m,Jeremy Mendoza
OID10005,PID2030,A121,EMP1003,C1220,2017-06-27,1,1899,Product 31,1044.0,0,284.85,D,Category D,Fresno,Fresno County,CA,California,36.74773,-119.77237,559,520052,161914,41531,Eric Bradley,58,f,Christopher Tucker
OID10007,PID2001,A122,EMP1003,C1368,2017-01-12,4,951,Product 2,504.0,0,142.65,A,Category A,Fullerton,Orange County,CA,California,33.870290000000004,-117.92533999999999,657,140847,45031,65974,Jerry Andrews,22,m,Christopher Tucker
OID10009,PID2082,A101,EMP1029,C1764,2017-07-28,1,1103,Product 83,838.0,0,165.45,G,Category G,Antioch,Contra Costa County,CA,California,38.00492,-121.80578999999999,925,110542,33718,64329,Charles Perry,45,f,Howard Gardner
OID10011,PID2004,A156,EMP1007,C1348,2017-04-13,3,1278,Product 5,665.0,0,191.7,A,Category A,San Jose,Santa Clara County,CA,California,37.33939,-121.89496000000001,408,1026908,314297,84647,Fred Reid,80,m,Jeremy Mendoza
OID10017,PID2088,A163,EMP1032,C1619,2017-12-08,1,603,Product 89,416.0,0,90.45,G,Category G,Simi Valley,Ventura County,CA,California,34.26945,-118.78148,805,126788,41972,90210,George Adams,70,f,Larry Castillo
OID10022,PID2077,A171,EMP1005,C1723,2017-09-03,2,530,Product 78,424.0,0,79.5,F,Category F,Visalia,Tulare County,CA,California,36.33023,-119.29206,559,130104,41730,52157,Louis Harris,46,m,Ryan Welch
OID10023,PID2005,A164,EMP1021,C1713,2017-05-28,4,684,Product 6,561.0,0,102.6,B,Category B,Stockton,San Joaquin County,CA,California,37.9577,-121.29078,209,305658,92440,44797,Louis Torres,46,m,Clarence Fox
OID10024,PID2059,A104,EMP1036,C1673,2017-01-14,3,1494,Product 60,971.0,0,224.1,E,Category E,Burbank,Los Angeles County,CA,California,34.18084,-118.30897,818,105319,41361,66076,Keith Murphy,35,m,Robert Reed
OID10025,PID2047,A170,EMP1015,C1753,2017-09-05,1,290,Product 48,200.0,0,43.5,E,Category E,Victorville,San Bernardino County,CA,California,34.53611,-117.29116,760,122225,31886,45894,Andrew Fernandez,57,m,Justin Lynch
OID10034,PID2099,A103,EMP1029,C1299,2017-05-30,1,1367,Product 100,984.0,0,205.05,H,Category H,Berkeley,Alameda County,CA,California,37.871590000000005,-122.27275,510,120972,45917,66237,Gregory Welch,45,f,Howard Gardner
OID10038,PID2098,A143,EMP1039,C1674,2017-04-19,1,1178,Product 99,683.0,0,176.7,H,Category H,Pasadena,Los Angeles County,CA,California,34.14778,-118.14452,626,142250,54536,72402,Jose Williams,45,f,Eugene Holmes
OID10040,PID2053,A122,EMP1040,C1301,2017-02-24,4,596,Product 54,358.0,0,89.4,E,Category E,Fullerton,Orange County,CA,California,33.870290000000004,-117.92533999999999,657,140847,45031,65974,James Simmons,62,f,Patrick Ruiz
OID10043,PID2068,A119,EMP1024,C1641,2017-06-04,4,1500,Product 69,900.0,0,225.0,F,Category F,Fontana,San Bernardino County,CA,California,34.09223,-117.43505,909,207460,49975,64824,Charles Bell,80,f,Ernest Wheeler
OID10044,PID2001,A120,EMP1038,C1604,2017-09-20,2,951,Product 2,504.0,0,142.65,A,Category A,Fremont,Alameda County,CA,California,37.54827,-121.98857,510,232206,72684,105355,Billy Gonzales,60,f,Scott Mason
OID10045,PID2058,A161,EMP1028,C1419,2017-03-12,2,2257,Product 59,1535.0,0,338.55,E,Category E,Santa Maria,Santa Barbara County,CA,California,34.95303,-120.43571999999999,805,105093,27365,50433,Eugene Cunningham,45,f,Howard Sims
OID10046,PID2010,A161,EMP1010,C1207,2017-06-27,4,1812,Product 11,1305.0,0,271.8,B,Category B,Santa Maria,Santa Barbara County,CA,California,34.95303,-120.43571999999999,805,105093,27365,50433,Johnny Hawkins,58,f,Joshua Cook
OID10050,PID2004,A172,EMP1003,C1012,2017-07-20,1,1278,Product 5,665.0,0,191.7,A,Category A,Vista,San Diego County,CA,California,33.20004,-117.24253999999999,760,100890,30451,50601,Gerald Andrews,45,f,Christopher Tucker
OID10053,PID2030,A116,EMP1021,C1364,2017-12-07,3,1899,Product 31,1044.0,0,284.85,D,Category D,El Monte,Los Angeles County,CA,California,34.06862,-118.02757,626,116732,30752,38085,Jeffrey Sanders,22,m,Clarence Fox
OID10054,PID2095,A151,EMP1012,C1105,2017-09-16,1,1743,Product 96,872.0,0,261.45,H,Category H,Salinas,Monterey County,CA,California,36.67774,-121.6555,831,157380,40892,49840,William Medina,32,f,John Reyes
OID10055,PID2098,A172,EMP1015,C1791,2017-08-01,3,1178,Product 99,683.0,0,176.7,H,Category H,Vista,San Diego County,CA,California,33.20004,-117.24253999999999,760,100890,30451,50601,Bruce Bowman,68,m,Justin Lynch
OID10060,PID2065,A150,EMP1044,C1723,2017-08-13,1,2396,Product 66,1965.0,0,359.4,F,Category F,Sacramento,Sacramento County,CA,California,38.58157,-121.4944,530,490712,178185,50739,Louis Harris,46,m,Martin Carr
OID10068,PID2058,A107,EMP1012,C1767,2017-03-29,1,2257,Product 59,1535.0,0,338.55,E,Category E,Clovis,Fresno County,CA,California,36.82523,-119.70291999999999,559,104180,34512,62666,David Wilson,57,m,John Reyes
OID10079,PID2043,A172,EMP1024,C1217,2017-12-19,1,545,Product 44,425.0,0,81.75,E,Category E,Vista,San Diego County,CA,California,33.20004,-117.24253999999999,760,100890,30451,50601,Joe Price,58,f,Ernest Wheeler
OID10080,PID2009,A129,EMP1029,C1550,2017-11-30,3,584,Product 10,420.0,0,87.6,B,Category B,Jurupa Valley,Riverside County,CA,California,34.002590000000005,-117.46761000000001,951,100314,24839,57749,Jeremy Porter,45,f,Howard Gardner
OID10081,PID2056,A120,EMP1008,C1749,2017-12-04,1,1635,Product 57,1046.0,0,245.25,E,Category E,Fremont,Alameda County,CA,California,37.54827,-121.98857,510,232206,72684,105355,George Nichols,57,m,Carl Elliott
OID10083,PID2092,A112,EMP1002,C1257,2017-04-26,3,1639,Product 93,1295.0,0,245.85,G,Category G,Downey,Los Angeles County,CA,California,33.94001,-118.13257,562,114219,32738,62897,James Armstrong,63,f,Andrew Bowman
OID10085,PID2002,A130,EMP1004,C1043,2017-05-16,3,847,Product 3,534.0,0,127.05,A,Category A,Lancaster,Los Angeles County,CA,California,34.69804,-118.13673999999999,661,161103,47427,47225,Johnny Butler,28,m,Kenneth Bradley
OID10087,PID2092,A152,EMP1009,C1357,2017-08-26,3,1639,Product 93,1295.0,0,245.85,G,Category G,San Bernardino,San Bernardino County,CA,California,34.108340000000005,-117.28976999999999,909,216108,57580,37047,Christopher Miller,84,m,Kenneth Fields
OID10090,PID2050,A146,EMP1001,C1463,2017-01-24,3,2391,Product 51,1291.0,0,358.65,E,Category E,Rialto,San Bernardino County,CA,California,34.1064,-117.37031999999999,909,103132,25199,50971,Joshua Watkins,45,f,Kevin Butler
